"country","year","tbi","pro_basicwater","pro_safewater","pro_basicsanitation","pro_safesanitation","hdi","region"
"Algeria",2000,75,"89.848828579842504","70.078517334717","84.4808303267888","84.4808303267888",0.652,"Africa"
"Algeria",2001,73,"90.113447796422193","70.6421850278993","84.7599276450493","84.7599276450493",0.659,"Africa"
"Algeria",2002,74,"90.373804332946904","71.1918583653421","85.0328073593515","85.0328073593515",0.668,"Africa"
"Algeria",2003,76,"90.629722476755603","71.7269643155818","85.2991644625783","85.2991644625783",0.675,"Africa"
"Algeria",2004,76,"90.881254723595205","72.2475517663549","85.5590709673942","85.5590709673942",0.683,"Africa"
"Algeria",2005,80,"91.128253391013999","72.7531510539839","85.8122609306772","85.8122609306772",0.69,"Africa"
"Algeria",2006,79,"91.370955534143604","73.2443466074211","86.0591315025692","86.0591315025692",0.696,"Africa"
"Algeria",2007,78,"91.609231991483398","73.7207212607151","86.299440005349","86.299440005349",0.701,"Africa"
"Algeria",2008,74,"91.843308744921103","74.1828238425326","86.5335680761237","86.5335680761237",0.709,"Africa"
"Algeria",2009,77,"92.072034965947296","74.6276877244098","86.7594853651133","86.7594853651133",0.716,"Africa"
"Algeria",2010,78,"92.295973461590506","75.056807812812","86.9781332130706","86.9781332130706",0.721,"Africa"
"Algeria",2011,73,"92.5149892867463","75.469916980438","87.1892375803685","87.1892375803685",0.725,"Africa"
"Algeria",2012,73,"92.745184699297496","75.867622968565","87.0935397027506","87.0935397027506",0.726,"Africa"
"Algeria",2013,68,"92.970881146269505","76.2501426819848","86.9868765719694","86.9868765719694",0.729,"Africa"
"Algeria",2014,72,"93.192346780408897","76.6182319353339","86.8698424356598","86.8698424356598",0.732,"Africa"
"Algeria",2015,75,"93.409557646999104","76.9719606352109","86.7425206949109","86.7425206949109",0.736,"Africa"
"Algeria",2016,70,"93.622775535899393","76.3948592626","86.6054829474466","86.6054829474466",0.738,"Africa"
"Algeria",2017,70,"93.831974930309798","75.7305417878483","86.4588237816513","86.4588237816513",0.738,"Africa"
"Algeria",2018,69,"94.0374149250041","75.036130399841","86.303094189528","86.303094189528",0.74,"Africa"
"Algeria",2019,61,"94.239139860161401","73.9538774939834","86.1385043463065","86.1385043463065",0.742,"Africa"
"Algeria",2020,58,"94.437329970412407","72.2481473302903","85.9654695730295","85.9654695730295",0.73,"Africa"
"Bangladesh",2000,221,"94.818921212875793","55.3187008304757","24.5131903542463","24.5131903542463",0.491,"South-East Asia"
"Bangladesh",2001,221,"94.993685943340395","55.3251160869331","26.0705975336452","26.0705975336452",0.498,"South-East Asia"
"Bangladesh",2002,221,"95.173769631676294","55.3037151491832","27.6554493983047","27.6554493983047",0.505,"South-East Asia"
"Bangladesh",2003,221,"95.352562559162394","55.2787471471295","29.231867657353","29.231867657353",0.511,"South-East Asia"
"Bangladesh",2004,221,"95.529972479063403","55.250352936216","30.7992984470831","30.7992984470831",0.518,"South-East Asia"
"Bangladesh",2005,221,"95.708957516062597","55.2188500690923","32.4431837647269","32.4431837647269",0.525,"South-East Asia"
"Bangladesh",2006,221,"95.884711782405802","55.1836736404241","34.0875250851519","34.0875250851519",0.53,"South-East Asia"
"Bangladesh",2007,221,"96.057098454524294","55.1449682258641","35.7309011894357","35.7309011894357",0.533,"South-East Asia"
"Bangladesh",2008,221,"96.2259786038382","55.1028751333941","37.3719166265714","37.3719166265714",0.535,"South-East Asia"
"Bangladesh",2009,221,"96.391233177533294","55.0575457562667","39.0092124920905","39.0092124920905",0.547,"South-East Asia"
"Bangladesh",2010,221,"96.552825369426102","55.0085863901501","40.6418673210665","40.6418673210665",0.558,"South-East Asia"
"Bangladesh",2011,221,"96.710597256144993","54.956322767706","42.268339101128","42.268339101128",0.565,"South-East Asia"
"Bangladesh",2012,221,"96.864384577712002","55.3036924501787","43.8868927179976","43.8868927179976",0.575,"South-East Asia"
"Bangladesh",2013,221,"97.0140618269523","55.6668781318431","45.4961634604437","45.4961634604437",0.577,"South-East Asia"
"Bangladesh",2014,221,"97.159663676013494","56.0454778209341","47.0955366737352","47.0955366737352",0.585,"South-East Asia"
"Bangladesh",2015,221,"97.301101090470794","56.4401978281453","48.6838158473245","48.6838158473245",0.604,"South-East Asia"
"Bangladesh",2016,221,"97.438390909400695","56.850799030472","50.2602922140672","50.2602922140672",0.613,"South-East Asia"
"Bangladesh",2017,221,"97.5714932946819","57.277601417181","51.8240359497362","51.8240359497362",0.622,"South-East Asia"
"Bangladesh",2018,221,"97.700411546896007","57.7207449544889","53.374264785747","53.374264785747",0.636,"South-East Asia"
"Bangladesh",2019,221,"97.825136571341105","58.180213270118","54.9102399606066","54.9102399606066",0.646,"South-East Asia"
"Bangladesh",2020,221,"97.945676020446996","58.6559977739333","56.4312334257288","56.4312334257288",0.657,"South-East Asia"
"Central African Republic",2000,540,"59.010489609795798","8.53086470231477","20.5939673265979","20.5939673265979",0.319,"Africa"
"Central African Republic",2001,540,"57.828577441904898","8.3960175599728","20.5472815173527","20.5472815173527",0.321,"Africa"
"Central African Republic",2002,540,"56.653334101803701","8.26170337509347","20.5005931077099","20.5005931077099",0.322,"Africa"
"Central African Republic",2003,540,"55.484376896686598","8.1277888097269","20.4536056364778","20.4536056364778",0.322,"Africa"
"Central African Republic",2004,540,"54.321704870217097","7.99427543453696","20.40631886511","20.40631886511",0.326,"Africa"
"Central African Republic",2005,540,"53.1725556583242","7.86378242326338","19.9721489886999","19.9721489886999",0.33,"Africa"
"Central African Republic",2006,540,"52.036386720335102","7.73617229496012","19.5450444000148","19.5450444000148",0.333,"Africa"
"Central African Republic",2007,540,"50.912985605753903","7.61142944035955","19.1248922472729","19.1248922472729",0.339,"Africa"
"Central African Republic",2008,540,"49.8014654368029","7.48929311659285","18.7110296424231","18.7110296424231",0.345,"Africa"
"Central African Republic",2009,540,"48.701277024717399","7.36962769554587","18.3030851796557","18.3030851796557",0.35,"Africa"
"Central African Republic",2010,540,"47.612181682557299","7.25241332361953","17.9009514050434","17.9009514050434",0.357,"Africa"
"Central African Republic",2011,540,"46.533320353045902","7.13739945787107","17.504011935079","17.504011935079",0.365,"Africa"
"Central African Republic",2012,540,"45.464428146299397","7.02456234088729","17.1121604556915","17.1121604556915",0.372,"Africa"
"Central African Republic",2013,540,"44.404933896272397","6.91376367985524","16.7250416362785","16.7250416362785",0.352,"Africa"
"Central African Republic",2014,540,"43.354001474842001","6.80476202389028","16.3420826919898","16.3420826919898",0.354,"Africa"
"Central African Republic",2015,540,"42.311346201514603","6.6975310443207","15.9631874719448","15.9631874719448",0.367,"Africa"
